#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 04 12 04 50 150  4.0  6.0   0.8     7   4.7 127 1024.1  22.4  22.4  12.3   MM +0.0    MM
2017 04 12 03 50 150  5.0  7.0   0.9     7   4.7 118 1024.1  22.4  22.5  11.8   MM +0.0    MM
2017 04 12 02 50 160  6.0  8.0   0.7     6   4.5 109 1024.2  22.5  22.6  13.1   MM +0.5    MM
2017 04 12 01 50 140  6.0  8.0   0.8     6   4.7 120 1024.1  22.5  22.8  12.2   MM +0.3    MM
2017 04 12 00 50 130  5.0  6.0   0.7     7   5.1 126 1023.9  22.5  22.8  12.9   MM +0.0    MM
2017 04 11 23 50 120  4.0  5.0   0.7     6   5.0 116 1023.7  22.5  22.9  12.9   MM -0.5    MM
2017 04 11 22 50 140  3.0  4.0   0.7     6   5.0 133 1023.8  22.6  23.2  12.9   MM -1.0    MM
2017 04 11 21 50 140  2.0  3.0   0.7     6   4.9 121 1024.0  22.6  23.3  12.9   MM -1.6    MM
2017 04 11 20 50  MM  0.0  1.0   0.7     6   4.9 130 1024.2  23.5  23.6  13.2   MM -2.0    MM
2017 04 11 19 50 200  1.0  2.0   0.7     6   4.8 125 1024.8  22.8  23.3  13.1   MM -1.8    MM
2017 04 11 18 50 190  1.0  2.0   0.8     6   4.9 129 1025.6  22.4  23.0  12.9   MM -1.5    MM
2017 04 11 17 50 170  2.0  3.0   0.7     5   4.9 116 1026.2  22.3  22.8  13.2   MM -0.6    MM
2017 04 11 16 50  70  2.0  3.0   0.7     6   4.9 118 1026.6  22.2  22.5  12.5   MM +0.0    MM
2017 04 11 15 50  50  2.0  3.0   0.7     6   5.0 112 1027.1  21.9  22.5  11.8   MM +0.9    MM
2017 04 11 14 50  40  2.0  2.0   0.7     6   5.0 103 1026.8  22.2  22.5  12.0   MM +1.2    MM
2017 04 11 13 50  MM  0.0  0.0   0.8     6   4.9 109 1026.5  22.5  22.4  10.7   MM +1.6    MM
2017 04 11 12 50 210  1.0  2.0   0.7     5   4.7 124 1026.2  22.0  22.4  10.5   MM +1.6    MM
2017 04 11 11 50 140  2.0  3.0   0.8     6   4.6 105 1025.6  22.2  22.4  11.2   MM +1.4    MM
2017 04 11 10 50 150  5.0  6.0   0.8     6   4.3 112 1024.9  21.6  22.4  11.8   MM +0.6    MM
2017 04 11 09 50 180  4.0  5.0   0.8     5   4.2 118 1024.6  21.7  22.4  11.0   MM +0.4    MM
2017 04 11 08 50 160  5.0  6.0   0.8     5   4.1 138 1024.2  21.8  22.4  12.5   MM +0.0    MM
2017 04 11 07 50 150  6.0  7.0   0.8     6   3.9 111 1024.3  21.8  22.5  11.4   MM -0.9    MM
2017 04 11 06 50 150  7.0  9.0   0.8     4   3.7 135 1024.2  21.9  22.5  12.9   MM -1.7    MM
2017 04 11 05 50 130  8.0  9.0   0.7     6   3.9 108 1024.4  22.0  22.5  13.3   MM -1.5    MM
2017 04 11 04 50 150  6.0  7.0   0.6     5   4.1 114 1025.2  21.9  22.6  13.5   MM -0.9    MM
2017 04 11 03 50 130  5.0  6.0   0.5     5   4.5 109 1025.9  21.8  22.5  11.4   MM +0.3    MM
2017 04 11 02 50 100  5.0  7.0   0.5     6   4.8 111 1025.9  21.7  22.5  12.2   MM +0.8    MM
2017 04 11 01 50 120  3.0  4.0   0.5     5   4.7 119 1026.1  21.7  22.6  10.6   MM +1.4    MM
2017 04 11 00 50 120  3.0  4.0   0.6     5   4.7 114 1025.6  21.7  22.6  10.9   MM +0.6    MM
2017 04 10 23 50 140  3.0  4.0   0.5     5   4.6 131 1025.1  21.6  22.7  10.6   MM -0.0    MM
2017 04 10 22 50 130  5.0  5.0   0.6     5   4.6 128 1024.7  21.9  22.8  11.9   MM -1.0    MM
2017 04 10 21 50 140  4.0  6.0   0.5     5   4.3  96 1025.0  21.9  23.0  12.0   MM -1.2    MM
2017 04 10 20 50  80  3.0  4.0   0.5     5   4.3 116 1025.3  21.7  22.8  12.8   MM -1.3    MM
2017 04 10 19 50  80  4.0  5.0   0.6     5   4.2 111 1025.7  21.4  22.6  12.8   MM -1.3    MM
2017 04 10 18 50 100  5.0  5.0   0.6     5   4.4 121 1026.2  21.4  22.6  12.2   MM -1.2    MM
2017 04 10 17 50  70  3.0  4.0   0.6     5   4.4 124 1026.6  21.3  22.6  11.8   MM -0.6    MM
2017 04 10 16 50  90  4.0  5.0   0.6     6   4.3 120 1027.0  21.2  22.5  11.8   MM +0.5    MM
2017 04 10 15 50  90  3.0  4.0   0.6     5   4.3 118 1027.4  21.4  22.3  11.1   MM   MM    MM
2017 04 10 14 50 100  3.0  4.0   0.6     7   4.4 119 1027.2  21.4  22.2  10.8   MM +1.6    MM
2017 04 10 13 50 100  5.0  6.0   0.6     5   4.2 121 1026.5  21.1  22.2  12.0   MM +1.9    MM
2017 04 10 12 50 110  4.0  5.0   0.6     5   4.0 116 1026.2  21.2  22.1  11.4   MM +2.1    MM
2017 04 10 11 50 130  6.0  7.0   0.6     3   3.8 142 1025.6  20.8  21.9  11.0   MM +1.9    MM
2017 04 10 10 50 110  5.0  6.0   0.5     4   3.9 132 1024.6  20.7  21.9  12.3   MM +1.3    MM
2017 04 10 09 50 100  4.0  5.0   0.5     9   3.9  68 1024.1  20.7  21.9  11.7   MM +0.6    MM
2017 04 10 08 50 120  4.0  5.0   0.6     4   3.8 134 1023.7  20.6  22.0  10.1   MM -0.0    MM
2017 04 10 07 50 120  5.0  7.0   0.6     4   3.6 130 1023.3  20.6  22.0  10.9   MM -0.9    MM
2017 04 10 06 50 130  4.0  6.0   0.6     4   3.8 152 1023.5  20.5  21.9  11.3   MM -0.6    MM
2017 04 10 05 50 130  6.0  7.0   0.6     7   3.8  88 1023.8  20.6  21.9  11.2   MM -0.3    MM
2017 04 10 04 50 120  5.0  6.0   0.5     6   3.8  86 1024.2  20.6  22.0  11.5   MM +0.3    MM
2017 04 10 03 50 130  5.0  7.0   0.5     8   4.5 108 1024.1  20.7  22.0  11.2   MM +0.7    MM
2017 04 10 02 50  90  4.0  5.0   0.5     8   4.6  86 1024.1  20.1  22.0  11.7   MM +0.9    MM
2017 04 10 01 50  80  4.0  6.0   0.5     8   4.9  81 1023.9  19.7  22.1  11.4   MM +0.8    MM
2017 04 10 00 50  90  3.0  6.0   0.4     8   5.2  86 1023.4  19.4  22.1  10.3   MM +0.0    MM
2017 04 09 23 50  80  3.0  4.0   0.4     8   4.9  91 1023.2  19.2  22.2   9.6   MM +0.0    MM
2017 04 09 22 50  60  3.0  5.0   0.4     8   4.9  71 1023.1  19.5  22.3   9.1   MM -0.3    MM
2017 04 09 21 50  70  3.0  4.0   0.5     8   4.9  81 1023.2  19.4  22.3   8.3   MM -0.9    MM
2017 04 09 20 50  80  3.0  4.0   0.5     8   4.6  66 1023.3  19.1  22.3   6.6   MM -1.0    MM
2017 04 09 19 50  80  3.0  4.0   0.5     8   4.3  81 1023.4  19.0  22.3   5.4   MM -1.0    MM
2017 04 09 18 50  70  4.0  5.0   0.5     7   4.1  88 1024.1  18.8  22.2   5.7   MM +0.0    MM
2017 04 09 17 50  60  4.0  5.0   0.5     8   4.5  81 1024.3  18.7  22.2   5.7   MM +0.7    MM
2017 04 09 16 50  40  5.0  6.0   0.5     8   5.0  87 1024.4  18.7  22.2   6.3   MM +1.7    MM
2017 04 09 15 50  50  3.0  4.0   0.5     8   5.3  91 1024.3  18.7  22.1   5.3   MM +2.0    MM
2017 04 09 14 50  60  3.0  4.0   0.5     7   5.3  98 1023.6  18.6  22.0   4.3   MM +2.0    MM
2017 04 09 13 50  90  3.0  4.0   0.4     7   5.7 115 1022.7  18.7  21.9   3.8   MM +1.8    MM
